"Município";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"315170 POCO FUNDO";"214";"396";"522";"694";"2509";"586";"4921"
"315180 POCOS DE CALDAS";"3021";"4855";"7583";"9482";"14089";"8267";"47297"
"315190 POCRANE";"165";"189";"225";"328";"741";"335";"1983"
"315200 POMPEU";"890";"1103";"2018";"4199";"2340";"2942";"13492"
"315210 PONTE NOVA";"734";"689";"1637";"3964";"4164";"6853";"18041"
"315213 PONTO CHIQUE";"71";"147";"140";"145";"271";"195";"969"
"315217 PONTO DOS VOLANTES";"165";"377";"236";"349";"450";"356";"1933"
"315220 PORTEIRINHA";"834";"671";"946";"1659";"2319";"3266";"9695"
"315230 PORTO FIRME";"234";"183";"186";"1131";"529";"3344";"5607"
"315240 POTE";"235";"414";"563";"604";"819";"766";"3401"
"315250 POUSO ALEGRE";"2415";"4260";"4891";"7713";"14451";"6177";"39907"
"315260 POUSO ALTO";"88";"163";"118";"414";"384";"405";"1572"
"315270 PRADOS";"148";"180";"191";"1420";"566";"339";"2844"
"315280 PRATA";"692";"1491";"1395";"2497";"2231";"1913";"10219"
"315290 PRATAPOLIS";"111";"143";"74";"211";"212";"191";"942"
"315300 PRATINHA";"84";"134";"231";"393";"397";"469";"1708"
"315310 PRESIDENTE BERNARDES";"105";"126";"121";"388";"777";"149";"1666"
"315320 PRESIDENTE JUSCELINO";"58";"74";"160";"388";"325";"206";"1211"
"315330 PRESIDENTE KUBITSCHEK";"59";"116";"385";"169";"201";"218";"1148"
"315340 PRESIDENTE OLEGARIO";"274";"501";"663";"1088";"918";"1208";"4652"
"315350 ALTO JEQUITIBA";"264";"202";"199";"240";"496";"581";"1982"
"315360 PRUDENTE DE MORAIS";"331";"290";"713";"536";"772";"734";"3376"
"315370 QUARTEL GERAL";"61";"125";"409";"358";"168";"239";"1360"
"315380 QUELUZITO";"17";"27";"125";"205";"91";"128";"593"
"315390 RAPOSOS";"398";"523";"660";"2054";"613";"970";"5218"
"315400 RAUL SOARES";"324";"489";"577";"2309";"1447";"2099";"7245"
"315410 RECREIO";"106";"214";"228";"531";"429";"342";"1850"
"315415 REDUTO";"188";"115";"141";"558";"301";"172";"1475"
"315420 RESENDE COSTA";"221";"304";"321";"558";"1253";"802";"3459"
"315430 RESPLENDOR";"271";"479";"506";"1020";"1410";"1004";"4690"
"315440 RESSAQUINHA";"57";"119";"113";"429";"325";"232";"1275"
"315445 RIACHINHO";"88";"193";"225";"276";"324";"422";"1528"
"315450 RIACHO DOS MACHADOS";"149";"304";"346";"449";"300";"461";"2009"
"315460 RIBEIRAO DAS NEVES";"6821";"9217";"6660";"15092";"25039";"23336";"86165"
"315470 RIBEIRAO VERMELHO";"48";"113";"106";"296";"186";"123";"872"
"315480 RIO ACIMA";"263";"333";"271";"508";"1212";"1581";"4168"
"315490 RIO CASCA";"327";"489";"537";"640";"1093";"915";"4001"
"315500 RIO DOCE";"27";"45";"37";"109";"247";"196";"661"
"315510 RIO DO PRADO";"80";"133";"145";"246";"233";"259";"1096"
"315520 RIO ESPERA";"109";"99";"122";"804";"233";"157";"1524"
"315530 RIO MANSO";"68";"99";"59";"74";"638";"2087";"3025"
"315540 RIO NOVO";"453";"203";"208";"645";"736";"1438";"3683"
"315550 RIO PARANAIBA";"180";"330";"553";"1504";"1124";"1658";"5349"
"315560 RIO PARDO DE MINAS";"561";"914";"811";"2095";"2214";"1777";"8372"
"315570 RIO PIRACICABA";"248";"332";"318";"364";"750";"905";"2917"
"315580 RIO POMBA";"165";"419";"409";"896";"1001";"2219";"5109"
"315590 RIO PRETO";"109";"83";"103";"141";"764";"381";"1581"
"315600 RIO VERMELHO";"303";"256";"426";"220";"981";"1001";"3187"
"315610 RITAPOLIS";"46";"111";"112";"224";"224";"164";"881"
"315620 ROCHEDO DE MINAS";"18";"72";"53";"74";"119";"148";"484"
"315630 RODEIRO";"281";"390";"314";"644";"467";"379";"2475"
"315640 ROMARIA";"35";"72";"116";"339";"222";"76";"860"
"315645 ROSARIO DA LIMEIRA";"104";"229";"271";"628";"379";"295";"1906"
"315650 RUBELITA";"94";"100";"366";"182";"137";"102";"981"
"315660 RUBIM";"159";"222";"179";"542";"364";"356";"1822"
"315670 SABARA";"2428";"4638";"3539";"7241";"10348";"5486";"33680"
"315680 SABINOPOLIS";"366";"407";"388";"959";"1432";"1425";"4977"
"315690 SACRAMENTO";"481";"887";"1052";"1583";"2234";"2051";"8288"
"315700 SALINAS";"878";"1199";"1067";"1071";"1949";"1405";"7569"
"315710 SALTO DA DIVISA";"138";"186";"117";"168";"340";"641";"1590"
"315720 SANTA BARBARA";"524";"3365";"915";"4484";"2058";"2404";"13750"
"315725 SANTA BARBARA DO LESTE";"388";"292";"293";"888";"662";"785";"3308"
"315727 SANTA BARBARA DO MONTE VERDE";"54";"60";"69";"211";"131";"94";"619"
"315730 SANTA BARBARA DO TUGURIO";"71";"127";"143";"303";"472";"82";"1198"
"315733 SANTA CRUZ DE MINAS";"197";"361";"315";"865";"951";"830";"3519"
"315737 SANTA CRUZ DE SALINAS";"85";"62";"86";"158";"201";"402";"994"
