"Município";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"150805 TRAIRAO";"470";"349";"220";"1523";"2724";"1089";"6375"
"150808 TUCUMA";"1048";"1254";"1416";"1320";"2465";"1845";"9348"
"150810 TUCURUI";"2912";"3135";"2879";"9386";"4764";"8383";"31459"
"150812 ULIANOPOLIS";"705";"940";"660";"1633";"2946";"2782";"9666"
"150815 URUARA";"736";"718";"784";"2213";"2260";"2655";"9366"
"150820 VIGIA";"995";"1158";"1407";"2399";"4620";"3909";"14488"
"150830 VISEU";"1119";"1627";"1064";"1295";"3548";"5768";"14421"
"150835 VITORIA DO XINGU";"457";"372";"510";"1143";"1146";"1957";"5585"
"150840 XINGUARA";"1074";"1019";"1048";"1505";"2290";"2411";"9347"
"160005 SERRA DO NAVIO";"113";"55";"870";"360";"436";"656";"2490"
"160010 AMAPA";"469";"412";"334";"404";"588";"311";"2518"
"160015 PEDRA BRANCA DO AMAPARI";"369";"329";"422";"683";"1051";"1056";"3910"
"160020 CALCOENE";"327";"918";"326";"354";"643";"825";"3393"
"160021 CUTIAS";"307";"1423";"1544";"1045";"462";"342";"5123"
"160023 FERREIRA GOMES";"315";"315";"193";"115";"419";"643";"2000"
"160025 ITAUBAL";"52";"113";"120";"441";"556";"708";"1990"
"160027 LARANJAL DO JARI";"1218";"1060";"1181";"953";"1821";"2574";"8807"
"160030 MACAPA";"14183";"15488";"12747";"37756";"26112";"24567";"130853"
"160040 MAZAGAO";"481";"491";"495";"765";"999";"1615";"4846"
"160050 OIAPOQUE";"541";"629";"864";"1378";"1299";"2923";"7634"
"160053 PORTO GRANDE";"795";"860";"962";"1326";"1355";"544";"5842"
"160055 PRACUUBA";"137";"188";"430";"619";"496";"1074";"2944"
"160060 SANTANA";"4159";"4259";"3785";"5195";"5817";"3720";"26935"
"160070 TARTARUGALZINHO";"284";"298";"973";"587";"1030";"3228";"6400"
"160080 VITORIA DO JARI";"182";"278";"403";"533";"509";"614";"2519"
"170025 ABREULANDIA";"65";"60";"48";"59";"73";"34";"339"
"170030 AGUIARNOPOLIS";"107";"106";"110";"140";"249";"322";"1034"
"170035 ALIANCA DO TOCANTINS";"131";"93";"151";"177";"241";"173";"966"
"170040 ALMAS";"132";"134";"121";"166";"367";"261";"1181"
"170070 ALVORADA";"146";"240";"263";"858";"466";"493";"2466"
"170100 ANANAS";"199";"301";"400";"708";"432";"329";"2369"
"170105 ANGICO";"49";"62";"81";"135";"94";"109";"530"
"170110 APARECIDA DO RIO NEGRO";"91";"266";"222";"200";"251";"129";"1159"
"170130 ARAGOMINAS";"93";"135";"170";"311";"299";"168";"1176"
"170190 ARAGUACEMA";"154";"117";"174";"119";"234";"173";"971"
"170200 ARAGUACU";"187";"168";"406";"265";"414";"782";"2222"
"170210 ARAGUAINA";"4775";"6434";"5111";"9821";"12194";"8865";"47200"
"170215 ARAGUANA";"115";"135";"162";"366";"547";"234";"1559"
"170220 ARAGUATINS";"753";"797";"1232";"1373";"2141";"1707";"8003"
"170230 ARAPOEMA";"179";"204";"614";"574";"492";"481";"2544"
"170240 ARRAIAS";"484";"304";"408";"311";"392";"234";"2133"
"170255 AUGUSTINOPOLIS";"463";"566";"790";"942";"1170";"1111";"5042"
"170270 AURORA DO TOCANTINS";"72";"100";"80";"183";"200";"206";"841"
"170290 AXIXA DO TOCANTINS";"289";"332";"339";"399";"527";"460";"2346"
"170300 BABACULANDIA";"244";"138";"344";"563";"358";"522";"2169"
"170305 BANDEIRANTES DO TOCANTINS";"58";"105";"294";"389";"241";"178";"1265"
"170307 BARRA DO OURO";"114";"130";"264";"109";"206";"490";"1313"
"170310 BARROLANDIA";"125";"196";"209";"268";"266";"279";"1343"
"170320 BERNARDO SAYAO";"102";"149";"270";"251";"267";"329";"1368"
"170330 BOM JESUS DO TOCANTINS";"92";"88";"101";"222";"282";"157";"942"
"170360 BRASILANDIA DO TOCANTINS";"28";"46";"66";"70";"108";"80";"398"
"170370 BREJINHO DE NAZARE";"71";"93";"125";"134";"149";"180";"752"
"170380 BURITI DO TOCANTINS";"299";"270";"308";"355";"424";"397";"2053"
"170382 CACHOEIRINHA";"70";"55";"52";"61";"85";"74";"397"
"170384 CAMPOS LINDOS";"208";"243";"359";"545";"678";"587";"2620"
"170386 CARIRI DO TOCANTINS";"95";"140";"128";"276";"348";"244";"1231"
"170388 CARMOLANDIA";"58";"64";"100";"57";"92";"90";"461"
"170389 CARRASCO BONITO";"96";"90";"145";"138";"222";"193";"884"
"170390 CASEARA";"82";"103";"189";"113";"114";"73";"674"
"170410 CENTENARIO";"40";"34";"43";"36";"71";"39";"263"
"170460 CHAPADA DE AREIA";"27";"22";"41";"37";"52";"47";"226"
"170510 CHAPADA DA NATIVIDADE";"62";"66";"48";"57";"79";"80";"392"
"170550 COLINAS DO TOCANTINS";"827";"933";"909";"2533";"1445";"1410";"8057"
"170555 COMBINADO";"121";"155";"174";"173";"211";"195";"1029"
"170560 CONCEICAO DO TOCANTINS";"78";"86";"94";"132";"152";"108";"650"
"170600 COUTO MAGALHAES";"150";"103";"147";"106";"193";"185";"884"
"170610 CRISTALANDIA";"139";"133";"187";"195";"241";"439";"1334"
"170625 CRIXAS DO TOCANTINS";"73";"23";"37";"133";"66";"96";"428"
"170650 DARCINOPOLIS";"145";"104";"105";"87";"71";"33";"545"
"170700 DIANOPOLIS";"516";"488";"466";"473";"839";"741";"3523"
"170710 DIVINOPOLIS DO TOCANTINS";"321";"251";"205";"280";"419";"705";"2181"
"170720 DOIS IRMAOS DO TOCANTINS";"176";"148";"230";"142";"239";"175";"1110"
"170730 DUERE";"80";"109";"158";"212";"191";"109";"859"
"170740 ESPERANTINA";"212";"194";"316";"345";"438";"258";"1763"
"170755 FATIMA";"72";"90";"88";"112";"184";"112";"658"
"170765 FIGUEIROPOLIS";"46";"76";"244";"178";"204";"156";"904"
"170770 FILADELFIA";"201";"160";"190";"283";"359";"250";"1443"
"170820 FORMOSO DO ARAGUAIA";"363";"360";"530";"1065";"366";"483";"3167"
"170825 FORTALEZA DO TABOCAO";"106";"92";"119";"156";"341";"332";"1146"
"170830 GOIANORTE";"183";"219";"168";"300";"225";"237";"1332"
"170900 GOIATINS";"333";"298";"380";"665";"788";"466";"2930"
"170930 GUARAI";"608";"646";"772";"1330";"1866";"1732";"6954"
"170950 GURUPI";"1961";"2517";"2774";"6491";"3792";"1544";"19079"
"170980 IPUEIRAS";"47";"59";"78";"23";"50";"244";"501"
"171050 ITACAJA";"159";"153";"137";"150";"301";"263";"1163"
"171070 ITAGUATINS";"86";"89";"109";"86";"191";"117";"678"
"171090 ITAPIRATINS";"87";"101";"88";"115";"316";"221";"928"
"171110 ITAPORA DO TOCANTINS";"66";"62";"110";"188";"224";"172";"822"
"171150 JAU DO TOCANTINS";"64";"72";"49";"57";"117";"174";"533"
"171180 JUARINA";"44";"50";"58";"56";"65";"78";"351"
"171190 LAGOA DA CONFUSAO";"332";"284";"520";"656";"685";"623";"3100"
"171195 LAGOA DO TOCANTINS";"113";"111";"140";"221";"224";"202";"1011"
"171200 LAJEADO";"77";"85";"120";"250";"252";"196";"980"
"171215 LAVANDEIRA";"35";"31";"34";"119";"43";"40";"302"
"171240 LIZARDA";"62";"88";"73";"97";"53";"100";"473"
"171245 LUZINOPOLIS";"57";"40";"77";"63";"135";"79";"451"
"171250 MARIANOPOLIS DO TOCANTINS";"79";"99";"84";"138";"321";"170";"891"
"171270 MATEIROS";"95";"92";"127";"77";"194";"237";"822"
"171280 MAURILANDIA DO TOCANTINS";"71";"180";"113";"119";"239";"134";"856"
"171320 MIRACEMA DO TOCANTINS";"461";"557";"672";"653";"871";"570";"3784"
"171330 MIRANORTE";"315";"113";"279";"340";"427";"617";"2091"
"171360 MONTE DO CARMO";"191";"342";"390";"306";"316";"214";"1759"
"171370 MONTE SANTO DO TOCANTINS";"44";"33";"79";"112";"112";"143";"523"
"171380 PALMEIRAS DO TOCANTINS";"79";"114";"326";"309";"632";"385";"1845"
"171395 MURICILANDIA";"45";"61";"57";"59";"196";"233";"651"
"171420 NATIVIDADE";"227";"405";"442";"385";"462";"433";"2354"
"171430 NAZARE";"178";"106";"81";"194";"240";"177";"976"
"171488 NOVA OLINDA";"189";"247";"315";"1031";"733";"900";"3415"
"171500 NOVA ROSALANDIA";"81";"92";"137";"218";"132";"141";"801"
"171510 NOVO ACORDO";"112";"131";"125";"155";"233";"139";"895"
"171515 NOVO ALEGRE";"41";"54";"59";"34";"105";"118";"411"
"171525 NOVO JARDIM";"54";"63";"110";"174";"84";"45";"530"
"171550 OLIVEIRA DE FATIMA";"17";"32";"27";"34";"62";"41";"213"
"171570 PALMEIRANTE";"133";"282";"187";"370";"309";"271";"1552"
"171575 PALMEIROPOLIS";"203";"188";"380";"596";"367";"522";"2256"
"171610 PARAISO DO TOCANTINS";"962";"1015";"1567";"1594";"2502";"1822";"9462"
"171620 PARANA";"195";"176";"325";"482";"511";"484";"2173"
"171630 PAU D\'ARCO";"100";"71";"124";"94";"186";"124";"699"
"171650 PEDRO AFONSO";"382";"418";"499";"539";"793";"783";"3414"
"171660 PEIXE";"217";"238";"172";"394";"336";"357";"1714"
"171665 PEQUIZEIRO";"74";"107";"86";"334";"603";"351";"1555"
"171670 COLMEIA";"217";"292";"320";"420";"441";"606";"2296"
"171700 PINDORAMA DO TOCANTINS";"155";"265";"519";"219";"200";"235";"1593"
"171720 PIRAQUE";"74";"66";"54";"43";"180";"116";"533"
"171750 PIUM";"175";"117";"108";"143";"165";"235";"943"
"171780 PONTE ALTA DO BOM JESUS";"60";"62";"167";"178";"276";"154";"897"
"171790 PONTE ALTA DO TOCANTINS";"180";"194";"143";"177";"325";"151";"1170"
"171800 PORTO ALEGRE DO TOCANTINS";"44";"133";"96";"121";"139";"85";"618"
"171820 PORTO NACIONAL";"1534";"1665";"2245";"2805";"3628";"3517";"15394"
"171830 PRAIA NORTE";"126";"139";"267";"194";"431";"232";"1389"
"171840 PRESIDENTE KENNEDY";"59";"107";"151";"180";"165";"68";"730"
"171845 PUGMIL";"65";"69";"87";"65";"163";"47";"496"
"171850 RECURSOLANDIA";"73";"129";"224";"80";"201";"323";"1030"
"171855 RIACHINHO";"91";"69";"55";"403";"303";"205";"1126"
"171865 RIO DA CONCEICAO";"38";"50";"103";"60";"128";"120";"499"
"171870 RIO DOS BOIS";"106";"164";"100";"66";"112";"82";"630"
"171875 RIO SONO";"103";"74";"84";"97";"207";"364";"929"
"171880 SAMPAIO";"127";"140";"246";"332";"396";"238";"1479"
"171884 SANDOLANDIA";"73";"5";"45";"120";"157";"141";"541"
"171886 SANTA FE DO ARAGUAIA";"166";"167";"186";"196";"487";"451";"1653"
"171888 SANTA MARIA DO TOCANTINS";"136";"139";"138";"138";"120";"99";"770"
"171889 SANTA RITA DO TOCANTINS";"55";"61";"80";"115";"160";"217";"688"
"171890 SANTA ROSA DO TOCANTINS";"101";"105";"128";"110";"198";"144";"786"
"171900 SANTA TEREZA DO TOCANTINS";"53";"90";"87";"81";"74";"67";"452"
"172000 SANTA TEREZINHA DO TOCANTINS";"71";"106";"79";"66";"73";"26";"421"
"172010 SAO BENTO DO TOCANTINS";"110";"100";"117";"85";"188";"195";"795"
"172015 SAO FELIX DO TOCANTINS";"60";"34";"38";"25";"52";"119";"328"
"172020 SAO MIGUEL DO TOCANTINS";"152";"241";"285";"347";"590";"525";"2140"
"172025 SAO SALVADOR DO TOCANTINS";"75";"58";"137";"51";"76";"49";"446"
"172030 SAO SEBASTIAO DO TOCANTINS";"131";"108";"131";"270";"384";"442";"1466"
"172049 SAO VALERIO";"92";"117";"275";"215";"192";"107";"998"
"172065 SILVANOPOLIS";"104";"125";"113";"95";"122";"178";"737"
"172080 SITIO NOVO DO TOCANTINS";"249";"300";"260";"307";"600";"444";"2160"
"172085 SUCUPIRA";"69";"61";"139";"154";"95";"156";"674"
"172090 TAGUATINGA";"312";"449";"428";"473";"904";"574";"3140"
"172093 TAIPAS DO TOCANTINS";"48";"69";"71";"84";"48";"60";"380"
"172097 TALISMA";"50";"70";"78";"109";"197";"266";"770"
"172100 PALMAS";"11654";"12585";"14252";"30345";"18893";"17936";"105665"
"172110 TOCANTINIA";"189";"251";"271";"331";"346";"538";"1926"
"172120 TOCANTINOPOLIS";"810";"753";"872";"874";"1065";"1023";"5397"
"172125 TUPIRAMA";"159";"70";"108";"174";"78";"65";"654"
"172130 TUPIRATINS";"41";"31";"43";"67";"85";"93";"360"
"172208 WANDERLANDIA";"163";"114";"246";"656";"353";"485";"2017"
"172210 XAMBIOA";"375";"446";"605";"595";"914";"732";"3667"
"210005 ACAILANDIA";"3681";"4921";"5112";"6615";"10864";"7962";"39155"
"210010 AFONSO CUNHA";"212";"184";"190";"810";"952";"2715";"5063"
"210015 AGUA DOCE DO MARANHAO";"647";"550";"418";"1208";"1625";"845";"5293"
"210020 ALCANTARA";"219";"214";"238";"1281";"1323";"795";"4070"
"210030 ALDEIAS ALTAS";"829";"861";"981";"1114";"1644";"1003";"6432"
"210040 ALTAMIRA DO MARANHAO";"73";"42";"368";"831";"1363";"609";"3286"
"210043 ALTO ALEGRE DO MARANHAO";"674";"773";"851";"2474";"2296";"2706";"9774"
"210047 ALTO ALEGRE DO PINDARE";"781";"505";"838";"1149";"2961";"3598";"9832"
"210050 ALTO PARNAIBA";"203";"352";"356";"723";"907";"600";"3141"
"210055 AMAPA DO MARANHAO";"668";"108";"296";"487";"938";"447";"2944"
"210060 AMARANTE DO MARANHAO";"1356";"2031";"2315";"3608";"2569";"1943";"13822"
"210070 ANAJATUBA";"452";"587";"710";"607";"1522";"1300";"5178"
"210080 ANAPURUS";"727";"800";"726";"968";"1481";"1120";"5822"
"210083 APICUM-ACU";"407";"414";"532";"785";"1228";"967";"4333"
"210087 ARAGUANA";"192";"252";"469";"561";"1125";"698";"3297"
"210090 ARAIOSES";"995";"835";"703";"895";"2488";"1481";"7397"
"210095 ARAME";"342";"314";"446";"1139";"1543";"1285";"5069"
"210100 ARARI";"710";"1067";"1136";"1235";"2350";"1971";"8469"
"210110 AXIXA";"231";"196";"156";"251";"728";"630";"2192"
"210120 BACABAL";"2977";"1446";"1829";"3274";"3898";"4543";"17967"
"210125 BACABEIRA";"322";"316";"441";"1005";"1047";"896";"4027"
"210130 BACURI";"290";"40";"161";"343";"935";"820";"2589"
"210135 BACURITUBA";"63";"142";"496";"449";"734";"1118";"3002"
"210140 BALSAS";"2659";"4843";"3983";"4781";"6771";"5905";"28942"
"210150 BARAO DE GRAJAU";"339";"542";"549";"1186";"1822";"1287";"5725"
"210160 BARRA DO CORDA";"3109";"1921";"2095";"2465";"5236";"3453";"18279"
"210170 BARREIRINHAS";"1565";"2784";"2815";"5726";"4761";"4199";"21850"
"210173 BELAGUA";"354";"206";"335";"281";"1221";"565";"2962"
"210177 BELA VISTA DO MARANHAO";"214";"436";"411";"362";"773";"944";"3140"
"210180 BENEDITO LEITE";"107";"105";"137";"115";"204";"718";"1386"
"210190 BEQUIMAO";"494";"82";"45";"150";"432";"967";"2170"
"210193 BERNARDO DO MEARIM";"233";"134";"600";"567";"642";"569";"2745"
"210197 BOA VISTA DO GURUPI";"300";"202";"290";"403";"811";"869";"2875"
"210200 BOM JARDIM";"438";"1009";"1202";"1454";"2098";"1196";"7397"
"210203 BOM JESUS DAS SELVAS";"884";"1032";"2244";"4068";"2294";"1969";"12491"
"210207 BOM LUGAR";"612";"157";"240";"438";"1101";"455";"3003"
"210210 BREJO";"661";"1634";"1322";"1062";"2578";"1261";"8518"
"210215 BREJO DE AREIA";"253";"235";"285";"502";"1000";"1606";"3881"
"210220 BURITI";"609";"1042";"1698";"1864";"3488";"2573";"11274"
"210230 BURITI BRAVO";"446";"916";"795";"848";"1665";"602";"5272"
"210232 BURITICUPU";"2107";"2792";"3236";"5457";"6042";"4465";"24099"
"210235 BURITIRANA";"455";"508";"400";"538";"646";"348";"2895"
"210237 CACHOEIRA GRANDE";"456";"469";"766";"568";"737";"724";"3720"
"210240 CAJAPIO";"126";"147";"464";"336";"1245";"1383";"3701"
"210250 CAJARI";"670";"1060";"835";"1081";"1583";"1068";"6297"
"210255 CAMPESTRE DO MARANHAO";"380";"289";"463";"506";"831";"962";"3431"
"210260 CANDIDO MENDES";"566";"700";"849";"1564";"753";"1082";"5514"
"210270 CANTANHEDE";"405";"695";"343";"235";"660";"677";"3015"
"210275 CAPINZAL DO NORTE";"291";"440";"487";"668";"913";"750";"3549"
"210280 CAROLINA";"686";"1406";"1218";"1091";"1893";"1566";"7860"
"210290 CARUTAPERA";"764";"453";"374";"1463";"2575";"2500";"8129"
"210300 CAXIAS";"4422";"1153";"3538";"8056";"10824";"8338";"36331"
"210310 CEDRAL";"257";"592";"394";"739";"864";"1225";"4071"
"210312 CENTRAL DO MARANHAO";"344";"71";"295";"952";"1142";"264";"3068"
"210315 CENTRO DO GUILHERME";"333";"219";"641";"428";"1169";"835";"3625"
"210317 CENTRO NOVO DO MARANHAO";"619";"272";"1123";"1656";"2218";"818";"6706"
"210320 CHAPADINHA";"2315";"2799";"1622";"5261";"4123";"3514";"19634"
"210325 CIDELANDIA";"391";"337";"390";"584";"986";"626";"3314"
"210330 CODO";"5204";"3141";"4107";"5552";"6439";"4986";"29429"
"210340 COELHO NETO";"1296";"1342";"2358";"3810";"4431";"3902";"17139"
"210350 COLINAS";"1126";"671";"1560";"2230";"2902";"4071";"12560"
"210355 CONCEICAO DO LAGO-ACU";"407";"313";"407";"600";"1248";"1052";"4027"
"210360 COROATA";"1335";"2031";"1887";"3132";"3174";"3966";"15525"
"210370 CURURUPU";"1534";"2023";"2041";"1821";"2789";"2069";"12277"
"210375 DAVINOPOLIS";"649";"357";"637";"525";"719";"772";"3659"
"210380 DOM PEDRO";"664";"1623";"144";"1033";"816";"500";"4780"
"210390 DUQUE BACELAR";"422";"713";"723";"1331";"1734";"2040";"6963"
"210400 ESPERANTINOPOLIS";"448";"364";"699";"1679";"1253";"929";"5372"
"210405 ESTREITO";"675";"1357";"1063";"1643";"1999";"1954";"8691"
"210407 FEIRA NOVA DO MARANHAO";"95";"234";"244";"195";"477";"264";"1509"
"210408 FERNANDO FALCAO";"392";"500";"439";"452";"970";"735";"3488"
"210409 FORMOSA DA SERRA NEGRA";"431";"675";"562";"841";"1534";"1131";"5174"
"210410 FORTALEZA DOS NOGUEIRAS";"386";"644";"569";"702";"984";"610";"3895"
"210420 FORTUNA";"534";"306";"744";"1392";"1286";"1003";"5265"
"210430 GODOFREDO VIANA";"214";"331";"104";"137";"379";"609";"1774"
"210440 GONCALVES DIAS";"301";"878";"563";"696";"1267";"1034";"4739"
"210450 GOVERNADOR ARCHER";"167";"409";"368";"404";"1022";"1356";"3726"
"210455 GOVERNADOR EDISON LOBAO";"506";"702";"767";"533";"1286";"1140";"4934"
"210460 GOVERNADOR EUGENIO BARROS";"320";"1081";"887";"1292";"1597";"943";"6120"
"210462 GOVERNADOR LUIZ ROCHA";"234";"178";"388";"469";"519";"499";"2287"
"210465 GOVERNADOR NEWTON BELLO";"205";"750";"426";"638";"867";"958";"3844"
"210467 GOVERNADOR NUNES FREIRE";"760";"923";"863";"804";"1214";"713";"5277"
"210470 GRACA ARANHA";"87";"157";"257";"233";"449";"367";"1550"
"210480 GRAJAU";"2104";"1481";"2397";"4195";"7968";"7520";"25665"
"210490 GUIMARAES";"493";"740";"560";"1433";"2145";"1284";"6655"
"210500 HUMBERTO DE CAMPOS";"1812";"130";"554";"437";"1559";"969";"5461"
"210510 ICATU";"586";"611";"1046";"1450";"2144";"1361";"7198"
"210515 IGARAPE DO MEIO";"234";"378";"568";"394";"1349";"1599";"4522"
"210520 IGARAPE GRANDE";"481";"587";"1032";"616";"1124";"994";"4834"
"210530 IMPERATRIZ";"7719";"11781";"10106";"16596";"17797";"15729";"79728"
"210535 ITAIPAVA DO GRAJAU";"338";"40";"302";"1318";"1607";"1085";"4690"
"210540 ITAPECURU MIRIM";"2461";"1045";"2102";"3226";"4173";"3358";"16365"
"210542 ITINGA DO MARANHAO";"951";"536";"592";"1357";"1365";"1489";"6290"
"210545 JATOBA";"90";"191";"206";"136";"249";"380";"1252"
"210547 JENIPAPO DOS VIEIRAS";"1053";"453";"300";"345";"1034";"806";"3991"
"210550 JOAO LISBOA";"937";"1019";"966";"1463";"1800";"1561";"7746"
"210560 JOSELANDIA";"308";"78";"280";"732";"779";"578";"2755"
"210565 JUNCO DO MARANHAO";"147";"154";"249";"251";"414";"464";"1679"
"210570 LAGO DA PEDRA";"1801";"1557";"2414";"2567";"4883";"2393";"15615"
"210580 LAGO DO JUNCO";"296";"261";"323";"377";"1187";"1256";"3700"
"210590 LAGO VERDE";"447";"440";"1016";"1668";"720";"770";"5061"
"210592 LAGOA DO MATO";"173";"897";"1190";"1317";"725";"530";"4832"
"210594 LAGO DOS RODRIGUES";"207";"191";"233";"139";"339";"327";"1436"
"210596 LAGOA GRANDE DO MARANHAO";"217";"369";"455";"587";"1095";"1053";"3776"
"210598 LAJEADO NOVO";"191";"327";"154";"561";"619";"581";"2433"
"210600 LIMA CAMPOS";"118";"229";"713";"1171";"1236";"843";"4310"
"210610 LORETO";"155";"198";"159";"155";"606";"377";"1650"
"210620 LUIS DOMINGUES";"212";"139";"244";"135";"453";"433";"1616"
"210630 MAGALHAES DE ALMEIDA";"198";"151";"336";"715";"683";"842";"2925"
"210632 MARACACUME";"620";"571";"853";"1182";"1698";"1526";"6450"
"210635 MARAJA DO SENA";"254";"128";"1004";"772";"1009";"661";"3828"
"210637 MARANHAOZINHO";"453";"607";"851";"571";"1123";"2592";"6197"
"210640 MATA ROMA";"79";"114";"276";"1507";"1532";"757";"4265"
"210650 MATINHA";"623";"570";"738";"827";"1360";"2234";"6352"
"210660 MATOES";"617";"420";"883";"2260";"3865";"2831";"10876"
"210663 MATOES DO NORTE";"314";"181";"146";"189";"372";"476";"1678"
"210667 MILAGRES DO MARANHAO";"245";"317";"478";"234";"207";"52";"1533"
"210670 MIRADOR";"492";"685";"1372";"1196";"1319";"899";"5963"
"210675 MIRANDA DO NORTE";"640";"190";"494";"718";"1066";"1413";"4521"
"210680 MIRINZAL";"243";"835";"682";"750";"1772";"1417";"5699"
"210690 MONCAO";"847";"1187";"1442";"1003";"1142";"1642";"7263"
"210700 MONTES ALTOS";"197";"293";"327";"437";"722";"663";"2639"
"210710 MORROS";"336";"293";"369";"616";"1003";"801";"3418"
"210720 NINA RODRIGUES";"231";"404";"350";"938";"643";"509";"3075"
"210725 NOVA COLINAS";"75";"190";"172";"153";"522";"475";"1587"
"210730 NOVA IORQUE";"69";"101";"129";"375";"404";"560";"1638"
"210735 NOVA OLINDA DO MARANHAO";"248";"427";"440";"422";"805";"1885";"4227"
"210740 OLHO D\'AGUA DAS CUNHAS";"176";"111";"344";"975";"1299";"1459";"4364"
"210745 OLINDA NOVA DO MARANHAO";"185";"410";"618";"1479";"1453";"1601";"5746"
"210750 PACO DO LUMIAR";"1635";"2172";"2582";"3581";"3706";"4273";"17949"
"210760 PALMEIRANDIA";"296";"472";"715";"984";"554";"956";"3977"
"210770 PARAIBANO";"468";"859";"869";"1782";"1573";"2028";"7579"
"210780 PARNARAMA";"888";"658";"1486";"3141";"2994";"2946";"12113"
"210790 PASSAGEM FRANCA";"401";"665";"722";"1122";"1215";"1140";"5265"
"210800 PASTOS BONS";"427";"605";"613";"582";"1338";"944";"4509"
"210805 PAULINO NEVES";"359";"461";"803";"2117";"1942";"1207";"6889"
"210810 PAULO RAMOS";"850";"736";"807";"1743";"1270";"662";"6068"
"210820 PEDREIRAS";"486";"919";"1393";"1827";"3630";"1871";"10126"
"210825 PEDRO DO ROSARIO";"874";"562";"1440";"1349";"1473";"1258";"6956"
"210830 PENALVA";"944";"1337";"1357";"1456";"1646";"1768";"8508"
"210840 PERI MIRIM";"161";"137";"95";"332";"688";"451";"1864"
"210845 PERITORO";"925";"1031";"1065";"1235";"1630";"2196";"8082"
"210850 PINDARE-MIRIM";"637";"1384";"1007";"1186";"1749";"1846";"7809"
"210860 PINHEIRO";"2818";"711";"1558";"4238";"5518";"4688";"19531"
"210870 PIO XII";"552";"637";"876";"902";"1695";"964";"5626"
"210880 PIRAPEMAS";"405";"466";"579";"1035";"1744";"1611";"5840"
"210890 POCAO DE PEDRAS";"489";"84";"314";"1033";"991";"1587";"4498"
"210900 PORTO FRANCO";"516";"719";"1061";"898";"1479";"820";"5493"
"210905 PORTO RICO DO MARANHAO";"96";"146";"243";"304";"406";"354";"1549"
"210910 PRESIDENTE DUTRA";"1707";"2364";"1021";"1776";"3767";"3020";"13655"
"210920 PRESIDENTE JUSCELINO";"362";"227";"762";"769";"1554";"549";"4223"
"210923 PRESIDENTE MEDICI";"331";"246";"326";"425";"864";"470";"2662"
"210927 PRESIDENTE SARNEY";"145";"393";"416";"1514";"1294";"1074";"4836"
"210930 PRESIDENTE VARGAS";"378";"269";"491";"573";"694";"482";"2887"
"210940 PRIMEIRA CRUZ";"501";"489";"281";"184";"399";"1282";"3136"
"210945 RAPOSA";"727";"296";"544";"951";"2361";"2067";"6946"
"210950 RIACHAO";"650";"1013";"991";"786";"1352";"1011";"5803"
"210955 RIBAMAR FIQUENE";"269";"316";"221";"248";"372";"1036";"2462"
"210960 ROSARIO";"1150";"1185";"1570";"1825";"3141";"2064";"10935"
"210970 SAMBAIBA";"86";"138";"80";"81";"410";"381";"1176"
"210975 SANTA FILOMENA DO MARANHAO";"177";"202";"197";"335";"495";"302";"1708"
"210980 SANTA HELENA";"1110";"1420";"977";"1081";"1480";"1458";"7526"
"210990 SANTA INES";"1196";"2647";"2881";"3224";"9129";"5904";"24981"
"211000 SANTA LUZIA";"1336";"727";"2730";"2030";"3666";"2960";"13449"
"211003 SANTA LUZIA DO PARUA";"740";"522";"499";"822";"1018";"874";"4475"
"211010 SANTA QUITERIA DO MARANHAO";"1287";"686";"692";"1370";"543";"1745";"6323"
"211020 SANTA RITA";"1115";"665";"1227";"884";"2299";"1489";"7679"
"211023 SANTANA DO MARANHAO";"164";"285";"107";"333";"584";"1421";"2894"
"211027 SANTO AMARO DO MARANHAO";"210";"450";"516";"820";"667";"2209";"4872"
"211030 SANTO ANTONIO DOS LOPES";"539";"268";"1324";"2050";"1687";"1606";"7474"
"211040 SAO BENEDITO DO RIO PRETO";"502";"1032";"719";"684";"859";"893";"4689"
"211050 SAO BENTO";"705";"376";"933";"1587";"1673";"1608";"6882"
"211060 SAO BERNARDO";"534";"951";"741";"1926";"1557";"2848";"8557"
"211065 SAO DOMINGOS DO AZEITAO";"175";"139";"155";"178";"412";"250";"1309"
"211070 SAO DOMINGOS DO MARANHAO";"840";"532";"517";"1058";"2411";"2261";"7619"
"211080 SAO FELIX DE BALSAS";"109";"46";"68";"219";"304";"1360";"2106"
"211085 SAO FRANCISCO DO BREJAO";"319";"310";"824";"1416";"1252";"961";"5082"
"211090 SAO FRANCISCO DO MARANHAO";"129";"204";"264";"470";"589";"788";"2444"
"211100 SAO JOAO BATISTA";"346";"411";"279";"788";"1041";"1207";"4072"
"211102 SAO JOAO DO CARU";"325";"370";"925";"972";"1105";"1037";"4734"
"211105 SAO JOAO DO PARAISO";"251";"277";"405";"304";"332";"345";"1914"
"211107 SAO JOAO DO SOTER";"247";"483";"619";"1489";"1473";"1256";"5567"
"211110 SAO JOAO DOS PATOS";"515";"908";"971";"1934";"1781";"1562";"7671"
"211120 SAO JOSE DE RIBAMAR";"5703";"8733";"7929";"9646";"7307";"6657";"45975"
"211125 SAO JOSE DOS BASILIOS";"133";"130";"349";"316";"531";"524";"1983"
"211130 SAO LUIS";"28868";"43970";"39076";"40290";"59222";"33484";"244910"
